voedselnaam,Alpha-tocopherol,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
"Whitefishes or coregonus, PROCESS Baking",3.056,22.0,0.17,31.0,272.0,404.0,,1.092,1.837,7.275,0.121,0.088,0.0035,0.37299999999999994,3.056,0.0
"Whitefishes or coregonus, PROCESS Cooking in water",3.045,22.0,0.169,31.0,271.0,402.0,,1.088,1.83,7.279000000000001,0.121,0.088,0.0035,0.371,3.045,0.0
"Whitefishes or coregonus, PROCESS Frying",3.056,22.0,0.17,31.0,272.0,404.0,,1.092,1.837,7.275,0.121,0.088,0.0035,0.37299999999999994,3.056,0.0
"Whitefishes or coregonus, PROCESS Steaming",3.045,22.0,0.169,31.0,271.0,402.0,,1.088,1.83,7.279000000000001,0.121,0.088,0.0035,0.371,3.045,0.0
"Wiener sausage, PROCESS Baking",0.281,14.0,0.09,24.0,175.0,188.0,,2.601,2.106,5.223,0.124,0.081,0.0013000000000000002,0.23500000000000001,0.281,0.009
"Wiener sausage, PROCESS Cooking in water",0.1,16.571428571428573,0.07571428571428572,19.142857142857142,178.14285714285714,147.71428571428572,0.0071428571428571435,1.8004285714285715,1.7025714285714284,4.941285714285714,0.13314285714285715,0.21757142857142858,0.0009971428571428572,0.16957142857142854,0.24860000000000002,0.009
"Wiener sausage, PROCESS Steaming",0.1,14.428571428571429,0.08142857142857143,22.714285714285715,190.42857142857142,174.71428571428572,0.0072,2.0434285714285716,1.8034285714285712,4.540285714285714,0.15657142857142858,0.10628571428571429,0.0012142857142857144,0.19857142857142857,0.24480000000000005,0.009
"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",0.397,21.0,0.111,21.0,150.0,264.0,,0.943,1.506,8.053,0.081,0.078,0.0004,0.35699999999999993,0.397,0.0
"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.397,21.285714285714285,0.09642857142857143,17.857142857142858,150.0,222.0,0.007,0.9878571428571429,1.4757142857142858,8.053,0.08071428571428572,0.1985714285714286,0.00041142857142857143,0.28099999999999997,0.397,0.0
"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.397,21.0,0.111,21.0,150.0,264.0,,0.943,1.506,8.053,0.081,0.078,0.0004,0.35699999999999993,0.397,0.0
Wild boar fresh meat,0.21,10.0,0.11,22.0,167.0,359.0,,1.84,2.25,8.833,0.2,0.1,0.005,0.4,0.21000000000000002,0.0
"Wild boar fresh meat, PROCESS Baking",,13.819999999999999,0.12799999999999997,26.8,178.0,399.2,0.01,1.6220000000000003,2.8495999999999997,11.2744,0.17240000000000003,0.17679999999999998,0.0027999999999999995,0.378,0.22160000000000002,0.0
"Wild boar fresh meat, PROCESS Cooking in water",,9.0,0.11600000000000002,16.0,149.0,220.0,,2.05,2.507,6.792,0.123,0.045,0.0033,0.178,0.187,0.0
"Wild boar fresh meat, PROCESS Steaming",,9.0,0.11600000000000002,16.0,149.0,220.0,,2.05,2.507,6.792,0.123,0.045,0.0033,0.178,0.187,0.0
Wild goose fresh meat,0.0,12.0,0.33,23.0,184.0,420.0,,1.9,1.3,9.733,0.26,0.12,0.0003,0.58,0.0,0.0
"Wild goose fresh meat, PROCESS Baking",0.0,18.0,0.431,30.0,240.0,581.0,,2.774,1.998,12.917999999999997,0.36,0.12,0.0003,0.579,0.0,0.0
"Wild goose fresh meat, PROCESS Cooking in water",0.0,11.0,0.359,17.0,168.0,264.0,,2.174,1.487,7.344,0.164,0.055,0.0002,0.265,0.0,0.0
"Wild goose fresh meat, PROCESS Steaming",0.0,11.0,0.359,17.0,168.0,264.0,,2.174,1.487,7.344,0.164,0.055,0.0002,0.265,0.0,0.0
Wine grapes,0.6,12.485714285714286,0.092,8.2,19.52857142857143,202.28571428571428,0.00017142857142857145,0.31285714285714283,0.07028571428571428,0.5215714285714286,0.028285714285714286,0.04357142857142857,0.0,0.05985714285714285,0.5940000000000001,0.013714285714285715
"Wine, red",0.0,7.36,0.028571428571428574,9.58,12.285714285714286,92.85714285714286,9.5e-05,0.8785714285714287,0.10757142857142857,0.1142857142857143,0.0232,0.006,0.0,0.03142857142857143,0.0,0.0
"Wine, ros",,11.6,0.023,7.3,6.9,77.0,0.00015000000000000001,0.9172,0.0445,0.0884,0.0112,0.007,1e-05,0.0212,0.0,0.0
"Wine, white",0.0,14.52,0.021142857142857147,6.92,21.285714285714285,75.71428571428571,0.0001,0.6485714285714286,0.09600000000000002,0.10457142857142857,0.020333333333333335,0.006500000000000001,0.0,0.02,0.0,0.0
Winter savory,0.0,349.0,0.164,62.0,23.0,172.0,,6.207,0.705,0.902,0.0,0.06,0.0,0.0,0.0,0.0
Witloofs,0.1,23.585714285714285,0.08014285714285715,10.331428571428571,26.842857142857145,191.42857142857142,0.0002,0.4732857142857143,0.16842857142857143,0.5729999999999998,0.03271428571428571,0.0682857142857143,0.0,0.041,0.10000000000000002,0.0
"Witloofs, PROCESS Baking",0.11,35.67142857142857,0.11014285714285714,13.657142857142857,33.5,222.28571428571428,0.0022,0.8514285714285714,0.1787142857142857,0.634,0.040999999999999995,0.05028571428571429,0.0,0.048,0.11,0.0
"Witloofs, PROCESS Cooking in water",0.111,25.571428571428573,0.08642857142857142,8.571428571428571,26.571428571428573,118.28571428571429,0.0,0.5264285714285715,0.17857142857142858,0.527,0.024999999999999998,0.04642857142857142,0.0,0.030142857142857145,0.1466,0.0
"Witloofs, PROCESS Steaming",0.108,30.97142857142857,0.08914285714285715,11.485714285714286,30.857142857142858,186.71428571428572,0.0022,0.6278571428571429,0.20142857142857143,0.579,0.033999999999999996,0.048999999999999995,0.0,0.034199999999999994,0.16933333333333334,0.0
Wolffish,2.4,26.428571428571427,0.013,26.142857142857142,179.42857142857142,282.0,0.0575,1.0,0.59,5.272857142857143,0.05357142857142857,0.19142857142857145,0.0022,0.35,2.16,0.0
"Wolffish, PROCESS Baking",2.372,24.0,0.015,29.0,195.0,290.0,,1.028,0.7139999999999999,5.081,0.065,0.194,0.0024,0.339,2.372,0.0
"Wolffish, PROCESS Cooking in water",2.365,24.0,0.015,29.0,194.0,289.0,,1.026,0.712,5.089,0.065,0.193,0.0024,0.338,2.365,0.0
"Wolffish, PROCESS Frying",2.372,24.0,0.015,29.0,195.0,290.0,,1.028,0.7139999999999999,5.081,0.065,0.194,0.0024,0.339,2.372,0.0
